OMNIWeb Plus Browser Results

Listing for omni_min data from 20170907 to 20170909
Selected parameters:
 1 BX, nT (GSE, GSM)
 2 BY, nT (GSM)
 3 BZ, nT (GSM)
 4 Vx Velocity,km/s
 5 Proton Density, n/cc
 6 AL-index, nT
 7 AU-index, nT
 8 SYM/H, nT
 9 ASY/H, nT

YYYY DOY HR MN      1       2       3       4      5     6     7     8     9 
2017 250  3 47    2.62   -6.65   -1.58  -563.6  11.79  -151   270    27    33
2017 250  3 48    3.19   -7.03   -1.32  -563.7  11.78  -172   264    27    35
2017 250  3 49    3.98   -6.55   -2.86  -564.8  11.61  -177   272    26    35
2017 250  3 50    3.94   -5.72   -3.90  -566.8  11.32  -171   279    26    35
2017 250  3 51    3.50   -5.56   -3.82  -562.9  11.14  -162   258    25    34
2017 250  3 52    2.71   -7.12   -0.60  -566.0  11.59  -156   250    25    32
2017 250  3 53    3.41   -6.60    1.70  -565.0  12.60  -166   238    24    32
2017 250  3 54    2.98   -7.26   -0.52  -566.2  10.86  -177   235    23    33
2017 250  3 55    3.04   -7.94   -0.87  -565.3  11.25  -177   218    23    32
2017 250  3 56    2.58   -6.53   -2.05  -566.0  11.74  -167   198    22    31
2017 250  3 57    3.02   -6.81   -3.17 99999.9 999.99  -170   186    22    31
2017 250  3 58    3.14   -7.57    0.25  -561.6  10.70  -181   168    22    30
2017 250  3 59    2.91   -7.25    1.20  -557.4  10.56  -180   187    21    30
2017 250  4  0    1.78   -6.28    3.15  -561.5  11.03  -161   196    20    29
2017 250  4  1    1.44   -6.37    3.93  -562.4  11.76  -144   170    19    25
2017 250  4  2    2.01   -5.92    4.60  -562.2  11.04  -135   164    19    25
2017 250  4  3    1.93   -6.42    3.77  -557.6  10.75  -134   158    18    26
2017 250  4  4    2.05   -6.00    2.71  -557.9  10.51  -136   145    18    25
2017 250  4  5    1.75   -6.35    3.94  -562.7  10.55  -126   145    18    26
2017 250  4  6    1.53   -6.05    4.86  -561.1  10.91  -121   147    18    26
2017 250  4  7    1.49   -6.37    5.06  -564.4  10.43  -102   128    18    27
2017 250  4  8    1.18   -5.60    5.12  -561.5  11.56   -99   129    17    28
2017 250  4  9    1.38   -6.01    3.78  -563.4  11.10   -95   130    17    28
2017 250  4 10    1.27   -6.75    3.84  -559.9  10.92   -87   126    17    27
2017 250  4 11    1.21   -6.56    3.81  -563.4  10.62   -79   143    16    28
2017 250  4 12    1.22   -6.57    4.23  -561.2  10.99   -64   141    15    28
2017 250  4 13    2.09   -7.09    2.99  -558.3  10.91   -62   138    14    28
